screening_group,run,sample_id,FHB_normalized,SD,source_slide
382,4,2nd-4,4-69,123.34,1.52,48
383,4,2nd-4,4-70,141.12,1.1,48
384,4,2nd-4,4-72,167.2,2.2,48
385,4,2nd-4,4-73,23.34,0.59,48
386,4,2nd-4,4-75,31.35,1.41,48
387,4,2nd-4,4-77,192.94,0.99,48
388,4,2nd-4,4-78,129.56,4.2,48
389,4,2nd-4,4-79,33.89,2.06,48
390,4,2nd-4,4-80,129.81,3.31,48
391,4,2nd-4,4-81,259.56,7.12,48
392,4,2nd-4,4-82,203.12,13.09,48
393,4,2nd-4,4-83,207.78,10.62,48
394,4,2nd-4,4-85,69.26,1.58,48
395,4,2nd-4,4-86,124.65,2.37,48
396,4,2nd-4,4-87,111.2,2.06,48
397,4,2nd-4,4-88,136.96,0.19,48
398,4,2nd-4,4-89,99.76,3.95,48
399,4,2nd-4,4-91,202.83,13.98,48
400,4,2nd-4,4-93,36.6,0.8,48
401,4,2nd-4,4-94,171.95,6.57,48
402,4,2nd-4,4-95,40.49,0.13,48
403,4,2nd-4,4-96,35.31,0.83,48
404,5,1st-5,5-1,102.7,3.1,50
405,5,1st-5,5-2,89.64,2.41,50
406,5,1st-5,5-3,39.53,1.13,50
407,5,1st-5,5-4,71.58,5.29,50
408,5,1st-5,5-5,31.11,2.85,50
409,5,1st-5,5-7,54.62,2.19,50
410,5,1st-5,5-8,482.4,34.88,50
411,5,1st-5,5-9,212.81,23.96,50
412,5,1st-5,5-10,34.97,1.54,50
413,5,1st-5,5-12,1.49,0.15,50
414,5,1st-5,5-13,135.84,14.29,50
415,5,1st-5,5-15,1.49,0.0,50
416,5,1st-5,5-17,595.6,16.71,50
417,5,1st-5,5-18,43.83,2.02,50
418,5,1st-5,5-19,48.66,1.29,50
419,5,1st-5,5-20,248.29,1.63,50
420,5,1st-5,5-21,27.3,1.79,50
421,5,1st-5,5-22,491.37,2.23,50
422,5,1st-5,5-24,48.87,5.88,50
423,5,1st-5,5-25,48.7,0.32,50
424,5,1st-5,5-26,254.82,9.6,50
425,5,1st-5,5-28,1.53,0.27,50
426,5,1st-5,5-29,0.96,0.06,50
427,5,1st-5,5-30,32.5,2.86,50
428,5,1st-5,5-31,28.99,1.9,50
429,5,1st-5,5-32,188.53,10.71,50
430,5,1st-5,5-33,97.77,73.2,50
431,5,1st-5,5-34,46.72,0.99,50
432,5,1st-5,5-35,30.12,2.3,50
433,5,1st-5,5-36,39.41,1.38,50
434,5,1st-5,5-37,45.62,0.67,50
435,5,1st-5,5-38,2.21,0.39,50
436,5,1st-5,5-39,37.78,0.2,50
437,5,1st-5,5-40,236.67,6.11,50
438,5,1st-5,5-41,39.56,0.68,50
439,5,1st-5,5-42,192.13,9.51,50
440,5,1st-5,5-43,233.53,3.22,50
441,5,1st-5,5-44,35.8,0.77,50
442,5,1st-5,5-45,54.24,3.03,50
443,5,1st-5,5-46,31.98,5.08,50
